trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.01, 'e': 0.5618938591163328}",35,0,-94.58204400793119,"{0: 27, 1: 1, 2: 4, 3: 2, 4: 1}",0
116,False,"{'a': 0.01, 'e': 0.5590843898207511}",25,10,-51.73923175103955,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 1}",1
117,False,"{'a': 0.01, 'e': 0.5562889678716474}",35,22,-22.405833477335133,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.5535075230322891}",25,7,-47.348430146661364,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 1}",1
119,False,"{'a': 0.01, 'e': 0.5507399854171277}",20,10,7.761658922201473,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.547986285490042}",25,13,-7.593259612528771,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.5452463540625918}",20,7,5.840220382379276,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.5425201222922789}",30,8,-12.47732948906127,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.5398075216808175}",30,10,-13.342493359052051,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.5371084840724134}",20,0,-53.31363815886834,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
125,False,"{'a': 0.01, 'e': 0.5344229416520513}",30,0,-171.25100234321403,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
126,False,"{'a': 0.01, 'e': 0.531750826943791}",25,10,5.6789640029156025,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.5290920728090721}",20,0,-47.70009538160993,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.5264466124450268}",25,11,-32.21590269613978,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
129,False,"{'a': 0.01, 'e': 0.5238143793828016}",20,9,-3.273688879991256,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.5211953074858876}",25,0,-81.26509947042437,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
131,False,"{'a': 0.01, 'e': 0.5185893309484582}",20,8,-41.44637126508108,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.5159963842937159}",20,10,-24.863412142182295,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.01, 'e': 0.5134164023722473}",20,0,-96.35575471248755,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
134,False,"{'a': 0.01, 'e': 0.510849320360386}",20,15,-34.82393913811343,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.5082950737585841}",20,9,-4.105001378982279,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.5057535983897912}",30,16,-17.217517356417012,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.5032248303978422}",25,0,-6.838933307075342,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
138,False,"{'a': 0.01, 'e': 0.500708706245853}",25,17,-36.86836295510712,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.01, 'e': 0.4982051627146237}",25,0,-30.676952226557077,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
140,False,"{'a': 0.01, 'e': 0.49571413690105054}",20,10,17.441034767514026,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.4932355662165453}",20,6,-18.77814565233259,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.4907693883854626}",25,6,-11.862247016969102,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.4883155414435353}",25,9,-34.93322498720659,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.01, 'e': 0.4858739637363176}",20,3,5.864608576040572,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.483444593917636}",20,13,-52.54128865597691,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
146,False,"{'a': 0.01, 'e': 0.4810273709480478}",30,0,-96.46511088685737,"{0: 25, 1: 2, 2: 0, 3: 0, 4: 3}",1
147,False,"{'a': 0.01, 'e': 0.47862223409330756}",20,0,3.8782503426862203,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
148,False,"{'a': 0.01, 'e': 0.47622912292284103}",20,1,14.862278219854733,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
